mukim,state_id,district,state,postcode1,postcode2,postcode3,postcode
PALEKBANG,3,TUMPAT,KELANTAN,16210,16210,16210,16210
PERIOK,3,TUMPAT,KELANTAN,16210,16210,16210,16210
PULAU BESAR,3,TUMPAT,KELANTAN,16210,"15350, 16210",16210,16210
SELEHONG SELATAN,3,TUMPAT,KELANTAN,16210,16210,16210,16210
SELEHONG UTARA,3,TUMPAT,KELANTAN,16210,16210,16210,16210
SIMPANGAN,3,TUMPAT,KELANTAN,16210,16210,"34700, 16210",16210
SUNGAI PINANG,3,TUMPAT,KELANTAN,16210,16210,16210,16210
TABAR,3,TUMPAT,KELANTAN,16210,16210,16210,16210
TALAK,3,TUMPAT,KELANTAN,16210,16210,16210,16210
TELOK REJUNA,3,TUMPAT,KELANTAN,16210,16210,16210,16210
TUJOH,3,TUMPAT,KELANTAN,16210,16210,16210,16210
TUMPAT,3,TUMPAT,KELANTAN,16210,16210,16210,16210
WAKAF BHARU,3,TUMPAT,KELANTAN,"16210, 16250","16210, 16250","16210, 16250","16210, 16250"
WAKAF DELIMA,3,TUMPAT,KELANTAN,16210,16210,16210,16210
BANDAR TUMPAT,3,TUMPAT,KELANTAN,16210,16210,16210,16210
BATU PAPAN,3,GUA MUSANG,KELANTAN,18300,18300,18300,18300
GUA MUSANG,3,GUA MUSANG,KELANTAN,18300,18300,18300,18300
ULU NENGGIRI,3,GUA MUSANG,KELANTAN,18300,18300,18300,18300
KETIL,3,GUA MUSANG,KELANTAN,18300,18300,18300,18300
KUALA SUNGAI,3,GUA MUSANG,KELANTAN,18300,18300,18300,18300
LIMAU KASTURI,3,GUA MUSANG,KELANTAN,18300,"18000, 18300",18300,18300
PULAI,3,GUA MUSANG,KELANTAN,18300,"17000, 18300",18300,18300
RELAI,3,GUA MUSANG,KELANTAN,18300,18300,18300,18300
RENOK,3,GUA MUSANG,KELANTAN,18300,18300,18300,18300
BANDAR GUA MUSANG,3,GUA MUSANG,KELANTAN,18300,18300,18300,18300
BATU MENGKEBANG,3,KUALA KRAI,KELANTAN,18000,18000,18000,18000
ENGGONG,3,KUALA KRAI,KELANTAN,,,,18000
GAJAH,3,KUALA KRAI,KELANTAN,,,,18000
KANDEK,3,KUALA KRAI,KELANTAN,,,,18000
KENOR,3,KUALA KRAI,KELANTAN,,,,18000
KUALA GERIS,3,KUALA KRAI,KELANTAN,,,,18200
KUALA KRAI,3,KUALA KRAI,KELANTAN,,,,18000
KUALA NAL,3,KUALA KRAI,KELANTAN,,,,18000
KUALA PAHI,3,KUALA KRAI,KELANTAN,18000,18000,18000,18000
KUALA PERGAU,3,KUALA KRAI,KELANTAN,,,,18200
KUALA STONG,3,KUALA KRAI,KELANTAN,,,,18200
MAMBONG,3,KUALA KRAI,KELANTAN,,,,18000
MANEK URAI,3,KUALA KRAI,KELANTAN,18000,18000,18000,18000
MANJOR,3,KUALA KRAI,KELANTAN,,,,18000
TELEKONG,3,KUALA KRAI,KELANTAN,,,,18000
BANDAR KUALA KRAI,3,KUALA KRAI,KELANTAN,,,,18000
BELIMBING,3,JELI,KELANTAN,17600,17600,17600,17600
BUNGA TANJONG,3,JELI,KELANTAN,17600,17600,17600,17600
JELI,3,JELI,KELANTAN,17600,17600,17600,17600
JELI TEPI SUNGAI,3,JELI,KELANTAN,17600,17600,17600,17600
KALAI,3,JELI,KELANTAN,17600,17600,17600,17600
KUALA BALAH,3,JELI,KELANTAN,17600,"17700, 17600",17600,17600
LUBOK BONGOR,3,JELI,KELANTAN,17600,17600,17600,17600
BALAR,3,KECIL LOJING,KELANTAN,,18300,,18300
KUALA BETIS,3,KECIL LOJING,KELANTAN,,18300,,18300
BLAU,3,KECIL LOJING,KELANTAN,,18300,,18300
HAU,3,KECIL LOJING,KELANTAN,,18300,,18300
HENDROP,3,KECIL LOJING,KELANTAN,,18300,,18300
SIGAR,3,KECIL LOJING,KELANTAN,,18300,,18300
TUEL,3,KECIL LOJING,KELANTAN,,18300,,18300
BUKIT KENAK,11,BESUT,TERENGGANU,,"22200, 22000",,"22200, 22000"
BUKIT PUTERI,11,BESUT,TERENGGANU,,"22200, 22000",,"22200, 22000"
HULU BESUT,11,BESUT,TERENGGANU,,22200,,22200
JABI,11,BESUT,TERENGGANU,,"22020, 22200",,"22020, 22200"
KAMPONG RAJA,11,BESUT,TERENGGANU,,22200,,22200
KELUANG,11,BESUT,TERENGGANU,,22200,,22200
KERANDANG,11,BESUT,TERENGGANU,,"22200, 22000",,"22200, 22000"
KUALA BESUT,11,BESUT,TERENGGANU,22300,"22200, 22300",22300,22300
KUBANG BEMBAN,11,BESUT,TERENGGANU,,22200,,22200
LUBUK KAWAH,11,BESUT,TERENGGANU,,22200,,22200
PASIR AKAR,11,BESUT,TERENGGANU,,"22200, 22000",,"22200, 22000"
PELAGAT,11,BESUT,TERENGGANU,,22200,,22200
PENGKALAN NANGKA,11,BESUT,TERENGGANU,,22200,,22200
PULAU PERHENTIAN,11,BESUT,TERENGGANU,,"22200, 22300",,"22200, 22300"
TEMBILA,11,BESUT,TERENGGANU,,22200,,22200
TENANG,11,BESUT,TERENGGANU,,22200,,22200
PEKAN JERTIH,11,BESUT,TERENGGANU,,22200,26600,22200
PEKAN KAMPUNG RAJA,11,BESUT,TERENGGANU,22200,22200,"22200, 26600",22200
PEKAN KUALA BESUT,11,BESUT,TERENGGANU,22300,"22200, 22300","22300, 26600",22300
KUALA ABANG,11,DUNGUN,TERENGGANU,23000,23000,23000,23000
BESUL,11,DUNGUN,TERENGGANU,23000,23000,23000,23000
HULU PAKA,11,DUNGUN,TERENGGANU,"23100, 23000","23100, 23000","23100, 23000","23100, 23000"
JENGAI,11,DUNGUN,TERENGGANU,23000,23000,23000,23000
JERANGAU,11,DUNGUN,TERENGGANU,23000,"23200, 23000",23000,23000
KUALA DUNGUN,11,DUNGUN,TERENGGANU,23000,23000,23000,23000
KUALA PAKA,11,DUNGUN,TERENGGANU,"23100, 23000","23100, 23000","23100, 23000","23100, 23000"
KUMPAL,11,DUNGUN,TERENGGANU,23000,23000,23000,23000
PASIR RAJA,11,DUNGUN,TERENGGANU,23000,23000,23000,23000
RASAU,11,DUNGUN,TERENGGANU,23000,"23200, 23000","23000, 44200",23000
SURA,11,DUNGUN,TERENGGANU,23000,23000,23000,23000
BANDAR DUNGUN,11,DUNGUN,TERENGGANU,23000,"24200, 23000",23000,23000
PEKAN KUALA PAKA,11,DUNGUN,TERENGGANU,"23100, 23000","23100, 23000","23100, 23000, 26600","23100, 23000"
BANDI,11,KEMAMAN,TERENGGANU,,,,24000
BANGGUL,11,KEMAMAN,TERENGGANU,,,,24000
BINJAI,11,KEMAMAN,TERENGGANU,,24000,,24000
CUKAI,11,KEMAMAN,TERENGGANU,24000,24000,24000,24000
HULU CUKAI,11,KEMAMAN,TERENGGANU,24000,24000,24000,24000
HULU JABUR,11,KEMAMAN,TERENGGANU,,,,24060
KEMASIK,11,KEMAMAN,TERENGGANU,,,08210,08210
KERTEH,11,KEMAMAN,TERENGGANU,24300,24300,24300,24300
KIJAL,11,KEMAMAN,TERENGGANU,24100,24100,24100,24100
PASIR SEMUT,11,KEMAMAN,TERENGGANU,,,,24000
TEBAK,11,KEMAMAN,TERENGGANU,,,,24000
TELUK KALUNG,11,KEMAMAN,TERENGGANU,,,,24100
BANDAR CUKAI,11,KEMAMAN,TERENGGANU,24000,24000,24000,24000
PEKAN AIR JERNIH,11,KEMAMAN,TERENGGANU,,,26600,26600
PEKAN AIR PUTIH,11,KEMAMAN,TERENGGANU,,,26600,26600
PEKAN KEMASIK,11,KEMAMAN,TERENGGANU,,,"08210, 26600","08210, 26600"
PEKAN KIJAL,11,KEMAMAN,TERENGGANU,24100,24100,"24100, 26600",24100
ATAS TOL,11,KUALA TERENGGANU,TERENGGANU,21070,21070,21070,21070
BATU BURUK,11,KUALA TERENGGANU,TERENGGANU,,,,20400
BATU RAKIT,11,KUALA TERENGGANU,TERENGGANU,,,,21020
BELARA,11,KUALA TERENGGANU,TERENGGANU,21200,21200,21200,21200
BUKIT BESAR,11,KUALA TERENGGANU,TERENGGANU,21100,21100,21100,21100
CABANG TIGA,11,KUALA TERENGGANU,TERENGGANU,,,,21000
CENERIANG,11,KUALA TERENGGANU,TERENGGANU,,,,21080
GELUGUR KEDAI,11,KUALA TERENGGANU,TERENGGANU,,,,20050
GELUGUR RAJA,11,KUALA TERENGGANU,TERENGGANU,,,,20050
KEPUNG,11,KUALA TERENGGANU,TERENGGANU,,,,20050
KUALA IBAI,11,KUALA TERENGGANU,TERENGGANU,,,,20400
KUALA NERUS,11,KUALA TERENGGANU,TERENGGANU,,,,21300
KUBANG PARIT,11,KUALA TERENGGANU,TERENGGANU,,,32800,32800
LOSONG,11,KUALA TERENGGANU,TERENGGANU,,,96850,96850
MANIR,11,KUALA TERENGGANU,TERENGGANU,21200,21200,21200,21200
PALUH,11,KUALA TERENGGANU,TERENGGANU,,,,20050
PENGADANG BULUH,11,KUALA TERENGGANU,TERENGGANU,,,,21070
PULAU-PULAU,11,KUALA TERENGGANU,TERENGGANU,,,,20100
PULAU REDANG,11,KUALA TERENGGANU,TERENGGANU,21090,21090,21090,21090
RENGAS,11,KUALA TERENGGANU,TERENGGANU,,,,20050
SERADA,11,KUALA TERENGGANU,TERENGGANU,,,,20050
TOK JAMAL,11,KUALA TERENGGANU,TERENGGANU,,,,20050
BANDAR KUALA TERENGGANU,11,KUALA TERENGGANU,TERENGGANU,,,,20000
PEKAN CABANG TIGA,11,KUALA TERENGGANU,TERENGGANU,,,26600,26600
HULU BERANG,11,HULU TERENGGANU,TERENGGANU,,,,21800
HULU TELEMUNG,11,HULU TERENGGANU,TERENGGANU,,,,21700
HULU TERENGGANU,11,HULU TERENGGANU,TERENGGANU,,,,21700
JENAGUR,11,HULU TERENGGANU,TERENGGANU,,,,21700
KUALA BERANG,11,HULU TERENGGANU,TERENGGANU,21700,21700,21700,21700
KUALA TELEMUNG,11,HULU TERENGGANU,TERENGGANU,,,,21210
PENGHULU DIMAN,11,HULU TERENGGANU,TERENGGANU,,,,21010
TANGGUL,11,HULU TERENGGANU,TERENGGANU,,,,21040
TERSAT,11,HULU TERENGGANU,TERENGGANU,,,,21700
PEKAN KUALA BERANG,11,HULU TERENGGANU,TERENGGANU,21700,21700,"26600, 21700",21700
JERUNG,11,MARANG,TERENGGANU,21600,21600,"21600, 26500",21600
MERCANG,11,MARANG,TERENGGANU,21600,21600,"21600, 26500",21600
PULAU KERENGGA,11,MARANG,TERENGGANU,21600,21600,"21600, 26500",21600
RUSILA,11,MARANG,TERENGGANU,21600,"21600, 21080","21600, 26500",21600
ALUR LIMBAT,11,MARANG,TERENGGANU,21600,21600,"21600, 26500",21600
BUKIT PAYUNG,11,MARANG,TERENGGANU,21600,21600,"21600, 26500",21600
PEKAN MARANG,11,MARANG,TERENGGANU,21600,21600,"21600, 26600, 26500",21600
PEKAN bukit payung,11,MARANG,TERENGGANU,21600,21600,"21600, 26600, 26500",21600
CALUK,11,SETIU,TERENGGANU,,22120,,22120
GUNTUNG,11,SETIU,TERENGGANU,,22120,,22120
HULU NERUS,11,SETIU,TERENGGANU,,22120,,22120
MERANG,11,SETIU,TERENGGANU,,22120,,22120
TASIK,11,SETIU,TERENGGANU,,22120,08210,22120
MUKIM 1,7,SEBERANG PERAI TENGAH,PULAU PINANG,,,,13700
MUKIM 2,7,SEBERANG PERAI TENGAH,PULAU PINANG,,,,13500
MUKIM 3,7,SEBERANG PERAI TENGAH,PULAU PINANG,,,,13500
MUKIM 4,7,SEBERANG PERAI TENGAH,PULAU PINANG,,,,13500
MUKIM 5,7,SEBERANG PERAI TENGAH,PULAU PINANG,,,,14000
MUKIM 6,7,SEBERANG PERAI TENGAH,PULAU PINANG,,,,14000
MUKIM 7,7,SEBERANG PERAI TENGAH,PULAU PINANG,,,,14000
MUKIM 8,7,SEBERANG PERAI TENGAH,PULAU PINANG,,,,14000
MUKIM 9,7,SEBERANG PERAI TENGAH,PULAU PINANG,,,,14000
MUKIM 10,7,SEBERANG PERAI TENGAH,PULAU PINANG,,,,14000
MUKIM 11,7,SEBERANG PERAI TENGAH,PULAU PINANG,,,,14000
MUKIM 12,7,SEBERANG PERAI TENGAH,PULAU PINANG,,,,14100
MUKIM 13,7,SEBERANG PERAI TENGAH,PULAU PINANG,,,,14100
MUKIM 14,7,SEBERANG PERAI TENGAH,PULAU PINANG,,,,14000
MUKIM 15,7,SEBERANG PERAI TENGAH,PULAU PINANG,,,,14000
MUKIM 16,7,SEBERANG PERAI TENGAH,PULAU PINANG,,,,14000
MUKIM 17,7,SEBERANG PERAI TENGAH,PULAU PINANG,,,,14000
MUKIM 18,7,SEBERANG PERAI TENGAH,PULAU PINANG,,,,14000
MUKIM 19,7,SEBERANG PERAI TENGAH,PULAU PINANG,,,,14000
MUKIM 20,7,SEBERANG PERAI TENGAH,PULAU PINANG,,,,14400
MUKIM 21,7,SEBERANG PERAI TENGAH,PULAU PINANG,,,,14100
BANDAR BUKIT MERTAJAM,7,SEBERANG PERAI TENGAH,PULAU PINANG,14000,14000,14000,14000
BANDAR PRAI,7,SEBERANG PERAI TENGAH,PULAU PINANG,,,,13600
MUKIM 1,7,SEBERANG PERAI UTARA,PULAU PINANG,,,,13110
MUKIM 2,7,SEBERANG PERAI UTARA,PULAU PINANG,,,,13200
MUKIM 3,7,SEBERANG PERAI UTARA,PULAU PINANG,,,,13200
MUKIM 4,7,SEBERANG PERAI UTARA,PULAU PINANG,,,,13100
MUKIM 5,7,SEBERANG PERAI UTARA,PULAU PINANG,,,,13200
MUKIM 6,7,SEBERANG PERAI UTARA,PULAU PINANG,,,,13200
MUKIM 7,7,SEBERANG PERAI UTARA,PULAU PINANG,,,,13050
MUKIM 8,7,SEBERANG PERAI UTARA,PULAU PINANG,,,,13200
MUKIM 9,7,SEBERANG PERAI UTARA,PULAU PINANG,,,,13000
MUKIM 10,7,SEBERANG PERAI UTARA,PULAU PINANG,,,,13800
MUKIM 11,7,SEBERANG PERAI UTARA,PULAU PINANG,,,,13800
MUKIM 12,7,SEBERANG PERAI UTARA,PULAU PINANG,,,,13300
MUKIM 13,7,SEBERANG PERAI UTARA,PULAU PINANG,,,,14000
MUKIM 14,7,SEBERANG PERAI UTARA,PULAU PINANG,,,,12300
MUKIM 15,7,SEBERANG PERAI UTARA,PULAU PINANG,,,,12100
MUKIM 16,7,SEBERANG PERAI UTARA,PULAU PINANG,,,,13800
BANDAR BUTTERWORTH,7,SEBERANG PERAI UTARA,PULAU PINANG,12100,12100,12100,12100
BANDAR KEPALA BATAS,7,SEBERANG PERAI UTARA,PULAU PINANG,13200,13200,"06200, 13200",13200
MUKIM 1,7,SEBERANG PERAI SELATAN,PULAU PINANG,,,,14120
MUKIM 2,7,SEBERANG PERAI SELATAN,PULAU PINANG,,,,14000
MUKIM 3,7,SEBERANG PERAI SELATAN,PULAU PINANG,,,,14200
MUKIM 4,7,SEBERANG PERAI SELATAN,PULAU PINANG,,,,14200
MUKIM 5,7,SEBERANG PERAI SELATAN,PULAU PINANG,,,,14200
MUKIM 6,7,SEBERANG PERAI SELATAN,PULAU PINANG,,,,14200
MUKIM 7,7,SEBERANG PERAI SELATAN,PULAU PINANG,,,,14300
MUKIM 8,7,SEBERANG PERAI SELATAN,PULAU PINANG,,,,14300
MUKIM 9,7,SEBERANG PERAI SELATAN,PULAU PINANG,,,,14300
MUKIM 10,7,SEBERANG PERAI SELATAN,PULAU PINANG,,,,14320
MUKIM 11,7,SEBERANG PERAI SELATAN,PULAU PINANG,,,,14300
MUKIM 12,7,SEBERANG PERAI SELATAN,PULAU PINANG,,,,14200
MUKIM 13,7,SEBERANG PERAI SELATAN,PULAU PINANG,,,,14110
MUKIM 14,7,SEBERANG PERAI SELATAN,PULAU PINANG,,,,14100
MUKIM 15,7,SEBERANG PERAI SELATAN,PULAU PINANG,,,,14120
MUKIM 16,7,SEBERANG PERAI SELATAN,PULAU PINANG,,,,14100
BANDAR NIBONG TEBAL,7,SEBERANG PERAI SELATAN,PULAU PINANG,14300,14300,14300,14300
BANDAR SUNGAI BAKAP,7,SEBERANG PERAI SELATAN,PULAU PINANG,,14200,,14200
MUKIM 13,7,TIMOR LAUT,PULAU PINANG,,,,11500
MUKIM 14,7,TIMOR LAUT,PULAU PINANG,,,,11060
MUKIM 16,7,TIMOR LAUT,PULAU PINANG,,,,11500
MUKIM 17,7,TIMOR LAUT,PULAU PINANG,,,,11100
MUKIM 18,7,TIMOR LAUT,PULAU PINANG,,,,11200
BANDAR AYER ITAM,7,TIMOR LAUT,PULAU PINANG,11500,11500,11500,11500
BANDAR BATU FERRINGGI,7,TIMOR LAUT,PULAU PINANG,,,,11000
BANDAR BUKIT BENDERA,7,TIMOR LAUT,PULAU PINANG,,11300,,11300
BANDAR GLUGOR,7,TIMOR LAUT,PULAU PINANG,,,,10150
BANDAR GEORGE TOWN,7,TIMOR LAUT,PULAU PINANG,,,,10450
BANDAR JELUTONG,7,TIMOR LAUT,PULAU PINANG,11600,11600,"98100, 11600",11600
BANDAR TANJONG BUNGAH,7,TIMOR LAUT,PULAU PINANG,,,,11200
BANDAR TANJONG TOKONG,7,TIMOR LAUT,PULAU PINANG,10470,10470,10470,10470
BANDAR TANJONG PINANG,7,TIMOR LAUT,PULAU PINANG,,,,10470
MUKIM 1,7,BARAT DAYA,PULAU PINANG,,,,11010
MUKIM 2,7,BARAT DAYA,PULAU PINANG,,,,11050
MUKIM 3,7,BARAT DAYA,PULAU PINANG,,,,11010
MUKIM 4,7,BARAT DAYA,PULAU PINANG,,,,11000
MUKIM 5,7,BARAT DAYA,PULAU PINANG,,,,11000
MUKIM 6,7,BARAT DAYA,PULAU PINANG,,,,11000
MUKIM 7,7,BARAT DAYA,PULAU PINANG,,,,11000
MUKIM 8,7,BARAT DAYA,PULAU PINANG,,,,11000
MUKIM 9,7,BARAT DAYA,PULAU PINANG,,,,11000
MUKIM 10,7,BARAT DAYA,PULAU PINANG,,,,11900
MUKIM 11,7,BARAT DAYA,PULAU PINANG,,,,11920
MUKIM 12,7,BARAT DAYA,PULAU PINANG,,,,11900
MUKIM A,7,BARAT DAYA,PULAU PINANG,,,,11010
MUKIM B,7,BARAT DAYA,PULAU PINANG,,,,11000
MUKIM C,7,BARAT DAYA,PULAU PINANG,,,,11000
MUKIM D,7,BARAT DAYA,PULAU PINANG,,,,11000
MUKIM E,7,BARAT DAYA,PULAU PINANG,,,,11000
MUKIM F,7,BARAT DAYA,PULAU PINANG,,,,11000
MUKIM G,7,BARAT DAYA,PULAU PINANG,,,,11000
MUKIM H,7,BARAT DAYA,PULAU PINANG,,,,11000
MUKIM I,7,BARAT DAYA,PULAU PINANG,,,,11000
MUKIM J,7,BARAT DAYA,PULAU PINANG,,,,11000
BANDAR BALIK PULAU,7,BARAT DAYA,PULAU PINANG,11000,11000,11000,11000
BANDAR BAYAN LEPAS,7,BARAT DAYA,PULAU PINANG,11900,11900,"06900, 11900",11900
BATANG PADANG,8,BATANG PADANG,PERAK,,,,35000
BIDOR,8,BATANG PADANG,PERAK,35500,35500,35500,35500
CHENDERIANG,8,BATANG PADANG,PERAK,35300,35300,35300,35300
HULU BERNAM BARAT,8,BATANG PADANG,PERAK,36500,36500,36500,36500
HULU BERNAM TIMOR,8,BATANG PADANG,PERAK,36500,36500,36500,36500
SLIM,8,BATANG PADANG,PERAK,,,,35800
SUNGKAI,8,BATANG PADANG,PERAK,35600,35600,35600,35600
BANDAR BIDOR,8,BATANG PADANG,PERAK,35500,35500,35500,35500
BANDAR CHENDERIAN,8,BATANG PADANG,PERAK,,,,35350
BANDAR SUNGKAI,8,BATANG PADANG,PERAK,35600,35600,35600,35600
BANDAR TANJONG MALIM,8,BATANG PADANG,PERAK,,,,35600
BANDAR TAPAH,8,BATANG PADANG,PERAK,35000,35000,35000,35000
BANDAR TEMOH,8,BATANG PADANG,PERAK,35350,35350,35350,35350
PEKAN AYER KUNING,8,BATANG PADANG,PERAK,,"34850, 31900",26600,"34850, 31900"
PEKAN BANIR,8,BATANG PADANG,PERAK,,,26600,26600
PEKAN BANTANG,8,BATANG PADANG,PERAK,,,26600,26600
PEKAN BIKAM,8,BATANG PADANG,PERAK,,,26600,26600
PEKAN SLIM,8,BATANG PADANG,PERAK,,,26600,26600
PEKAN SUNGAI LESONG,8,BATANG PADANG,PERAK,,,"96850, 26600","96850, 26600"
PEKAN TAPAH ROAD,8,BATANG PADANG,PERAK,"35400, 35000","35400, 35000","35400, 35000, 26600","35400, 35000"
PEKAN TEMOH STATION,8,BATANG PADANG,PERAK,35350,35350,"35350, 26600",35350
PEKAN TEROLAK,8,BATANG PADANG,PERAK,,,26600,26600
BERUAS,8,MANJUNG,PERAK,,,,32700
LEKIR,8,MANJUNG,PERAK,,32000,,32000
LUMUT,8,MANJUNG,PERAK,32200,32200,32200,32200
PENGKALAN BAHARU,8,MANJUNG,PERAK,,,,34900
SITIAWAN,8,MANJUNG,PERAK,32000,32000,32000,32000
BANDAR LUMUT,8,MANJUNG,PERAK,32200,32200,32200,32200
PEKAN AYER TAWAR,8,MANJUNG,PERAK,32400,32400,"26600, 32400",32400
PEKAN BERUAS,8,MANJUNG,PERAK,,,26600,26600
PEKAN CHANGKAT KERUING,8,MANJUNG,PERAK,32500,32500,"32500, 26600",32500
PEKAN DAMAR LAUT,8,MANJUNG,PERAK,,32200,26600,32200
PEKAN KAMPONG BAHARU,8,MANJUNG,PERAK,,,26600,26600
PEKAN KAMPONG KOH,8,MANJUNG,PERAK,,,26600,26600
PEKAN KAMPONG SITIAWAN,8,MANJUNG,PERAK,32000,32000,"26600, 32000",32000
PEKAN PANGKOR,8,MANJUNG,PERAK,,,26600,26600
PEKAN PANTAI REMIS,8,MANJUNG,PERAK,34900,34900,"26600, 34900",34900
PEKAN PASIR BOGAK,8,MANJUNG,PERAK,,32300,26600,32300
PEKAN GURNEY,8,MANJUNG,PERAK,,32000,26600,32000
PEKAN PANGKALAN BAHARU,8,MANJUNG,PERAK,,,26600,26600
PEKAN SEGARI,8,MANJUNG,PERAK,,32200,"27660, 26600",32200
PEKAN SITIAWAN,8,MANJUNG,PERAK,32000,32000,"26600, 32000",32000
PEKAN SUNGAI PINANG KECHIL,8,MANJUNG,PERAK,,,26600,26600
BELANJA,8,KINTA,PERAK,,,,32610
HULU KINTA,8,KINTA,PERAK,31150,31150,31150,31150
SUNGAI RAIA,8,KINTA,PERAK,,31300,,31300
SUNGAI TERAP,8,KINTA,PERAK,,31000,,31000
TANJONG TUALANG,8,KINTA,PERAK,,,,31800
BANDAR BATU GAJAH,8,KINTA,PERAK,31000,31000,31000,31000
BANDAR CHEMOR,8,KINTA,PERAK,31200,31200,31200,31200
BANDAR IPOH (U),8,KINTA,PERAK,,,,30020
BANDAR IPOH (S),8,KINTA,PERAK,,,,31350
BANDAR JELAPANG,8,KINTA,PERAK,,30020,,30020
BANDAR LAHAT,8,KINTA,PERAK,,31500,,31500
BANDAR MENGELEMBU,8,KINTA,PERAK,,,,31450
BANDAR PAPAN,8,KINTA,PERAK,,,,31550
BANDAR PUSING,8,KINTA,PERAK,31550,31550,31550,31550
BANDAR SEPUTEH,8,KINTA,PERAK,,,,31560
BANDAR SUNGAI RAYA,8,KINTA,PERAK,,,,31300
BANDAR TAMBUN,8,KINTA,PERAK,,31400,,31400
BANDAR TANJONG RAMBUTAN,8,KINTA,PERAK,,,,31250
BANDAR TERONOH,8,KINTA,PERAK,,,,31750
PEKAN KANTHAN,8,KINTA,PERAK,,,26600,26600
PEKAN SIMPANG PULAI,8,KINTA,PERAK,34700,"34700, 33100, 31300","34700, 26600",34700
PEKAN TANJONG TUALANG,8,KINTA,PERAK,,,26600,26600
BAGAN SERAI,8,KERIAN,PERAK,34300,34300,34300,34300
BAGAN TIANG,8,KERIAN,PERAK,,34250,,34250
BERIAH,8,KERIAN,PERAK,,,,34300
GUNONG SEMANGGOL,8,KERIAN,PERAK,,,,34400
KUALA KURAU,8,KERIAN,PERAK,34350,34350,34350,34350
PARIT BUNTAR,8,KERIAN,PERAK,"34200, 32800","34200, 32800","34200, 32800","34200, 32800"
SELINSING,8,KERIAN,PERAK,,,,34400
TANJONG PIANDANG,8,KERIAN,PERAK,,,,34350
BANDAR BAGAN SERAI,8,KERIAN,PERAK,34300,34300,34300,34300
BANDAR KUALA KURAU,8,KERIAN,PERAK,34350,34350,34350,34350
BANDAR PARIT BUNTAR,8,KERIAN,PERAK,"34200, 32800","34200, 32800","34200, 32800","34200, 32800"
PEKAN BUKIT MERAH,8,KERIAN,PERAK,,34310,26600,34310
PEKAN JALAN BARU,8,KERIAN,PERAK,,"31650, 32400, 32000",26600,"31650, 32400, 32000"
PEKAN SIMPANG LIMA,8,KERIAN,PERAK,34700,"34200, 34700, 32000","34700, 26600",34700
PEKAN SUNGAI GEDONG,8,KERIAN,PERAK,,34300,"26600, 27400",34300
PEKAN TANJONG PIANDANG,8,KERIAN,PERAK,,,26600,26600
CHENGAR GALAH,8,KUALA KANGSAR,PERAK,33000,33000,33000,33000
KAMPONG BUAYA,8,KUALA KANGSAR,PERAK,33000,33000,33000,33000
KOTA LAMA KANAN,8,KUALA KANGSAR,PERAK,"33000, 33040","33000, 33040","71350, 33000, 33040","33000, 33040"
KOTA LAMA KIRI,8,KUALA KANGSAR,PERAK,33000,33000,"33000, 71350",33000
LUBOK MERBAU,8,KUALA KANGSAR,PERAK,"33010, 33000","33010, 33000","33010, 94000, 33000","33010, 33000"
PULAU KAMIRI,8,KUALA KANGSAR,PERAK,33000,33000,"98000, 33000",33000
SAIONG,8,KUALA KANGSAR,PERAK,33000,33000,33000,33000
SENGGANG,8,KUALA KANGSAR,PERAK,33000,33000,33000,33000
SUNGAI SIPUT,8,KUALA KANGSAR,PERAK,"33000, 31100","33000, 31100","33000, 31100","33000, 31100"
BANDAR KUALA KANGSAR,8,KUALA KANGSAR,PERAK,33000,33000,33000,33000
BANDAR SUNGAI SIPUT,8,KUALA KANGSAR,PERAK,"33000, 31100","33000, 31100","33000, 31100","33000, 31100"
PEKAN GUNONG PONDOK,8,KUALA KANGSAR,PERAK,33000,33000,"33000, 26600",33000
PEKAN JERLUN,8,KUALA KANGSAR,PERAK,33000,33000,"33000, 26600",33000
PEKAN KARAI,8,KUALA KANGSAR,PERAK,33000,33000,"33000, 26600",33000
PEKAN KATI,8,KUALA KANGSAR,PERAK,"33020, 33000","33020, 33000","33020, 33000, 26600","33020, 33000"
PEKAN LUBOK MERBAU,8,KUALA KANGSAR,PERAK,"33010, 33000","33010, 33000","33000, 33010, 26610, 26600, 94000","33010, 33000"
PEKAN MANONG,8,KUALA KANGSAR,PERAK,"33800, 33000","33800, 33000","33800, 33000, 26600","33800, 33000"
PEKAN PADANG RENGAS,8,KUALA KANGSAR,PERAK,"33700, 33000","33700, 33000","33700, 33000, 26600","33700, 33000"
PEKAN SALAK,8,KUALA KANGSAR,PERAK,33000,33000,"33000, 26600",33000
ASAM KUMBANG,8,LARUT & MATANG,PERAK,34750,"34000, 34750",34750,34750
BATU KURAU,8,LARUT & MATANG,PERAK,"34500, 34750","34500, 34750","34500, 34750","34500, 34750"
BUKIT GANTANG,8,LARUT & MATANG,PERAK,34750,"34750, 34030",34750,34750
JEBONG,8,LARUT & MATANG,PERAK,34750,34750,34750,34750
KAMUNTING,8,LARUT & MATANG,PERAK,"34750, 34600","34750, 34600","34750, 34600","34750, 34600"
PENGKALAN AOR,8,LARUT & MATANG,PERAK,34750,34750,34750,34750
SIMPANG,8,LARUT & MATANG,PERAK,"34700, 34750","34700, 34750","34700, 34750","34700, 34750"
SUNGAI LIMAU,8,LARUT & MATANG,PERAK,34750,"34750, 34800, 34510, 32040",34750,34750
