postcode,location,district,state,mukim,postcode1,postcode2,postcode3
nan,KAMPUNG RAJA CHENDERING,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG RUSILA,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG SENDONG,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG WAKAF TOK KEH,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KUBANG IKAN,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,LEMBAGA KEMAJUAN IKAN (LKIM),KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,PUSAT PENYELIDIKAN IKAN,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,RUSILA,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,TAMAN AQUARIUS,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,TAMAN DESA JAYA,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,TAMAN MEDAN JAYA,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,TAMAN PERMIN JAYA,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,PULAU REDANG,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,BUKIT BESAR,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,GONG KAPAS,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,JALAN BUKIT KECHIL,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,JALAN DATO BENTARA SETIA,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,JALAN GONG PENAGA,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,JALAN IBRAHIM,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,JALAN PANJI ALAM,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,JALAN PINTASAN,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,JALAN SULTAN MOHAMAD,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BUKIT BAYAS,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BUKIT BESAR,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BUKIT DEPU,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BUKIT KECHIL,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BUKIT TANAH,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG CIK DAMAT,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG GELONG BILAL,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG GONG BARU,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG GONG KAPAS,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG GONG NANGKA,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG GONG PAK MASEH,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG GONG PARIT,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG GONG PENAGA,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG GONG TOK NASEK,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG KUBOR KECHIL,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG NIBONG,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PADANG,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PASIR PANJANG,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PAYA JAMBOL,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG SEBERANG BUKIT BAYAS,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG SUNGAI DURHAKA,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,LORONG BERINGIN,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,LORONG GEMIA RENDANG,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,LORONG JAMBU,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,LORONG KEMUNTING,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,LORONG MASJID HAJI KADIR,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,LORONG MASJID RAJA,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,LORONG PAYA JAMBOL,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,LORONG SAGU,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,LORONG SURAU BAHARU,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,LORONG TEMBESU,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,LORONG TUNKU AHMAD,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,PUSAT MEMBELI BELAH GIANT,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,SEKOLAH MENENGAH SAINS TERENGGANU,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,TAMAN BUDAYA,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,TAMAN HAD,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,TAMAN SALIMOR 1,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,TAMAN TELOK ADIS INDAH,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,"BEG BERKUNCI, GONG KAPAS",KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,BATU ENAM,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,BELARA,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,BINJAI MANIS,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,JALAN KELANTAN (7 - 13 KM),KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BANGGOL AYER LILIH,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BANGGOL DAMA,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BANGGOL LIMAU,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BANGGOL MANIR,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BANGGOL TUAN MUDA,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BARU TETAMBAH,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BATU HAMPAR,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BATU LAPAN,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BELADAU KOLAM,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BUKIT DATU,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BUKIT KANDIS,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BUKIT PETITI BELARA,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BUKIT SERAMAN,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BUKIT TOK RIS,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BUKIT TUMBOH,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BUKIT TUNGGAL,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BULOH GADING,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG DURIAN MAS,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG DUSUN PINANG,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG DUSUN TEMBAKAN,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG DUSUN,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG GONG KIJANG,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG GONG PAK DAMAK,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG GONG SENTOL,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG JERAM,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG KEBOR AYER,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG KEBOR BESAR,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG KEDAI MANIR,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG KESOM CHE NORDIN,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG KESOM PADANG TAMBAK,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG KESOM,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG KOTA,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG KUALA BELARA,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG KUBANG BUJOK,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG KUBANG IKAN,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG KUBANG JELA,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG KUBANG TEPAK,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG MASJID HAJI HUSSIN,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PADANG MACHANG,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PADANG TENGER,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PADANG UJIB,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PAK KATAK,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PARIT DICAP,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PASIR TEBAKANG,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PAYA DATU,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PAYA LIMAU AMAS,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PELAM,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PENGKALAN ARANG,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PENGKALAN BATU,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PERADONG,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PETAI BUBUS,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PUJUK,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PULAU BAHAGIA,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG SEBERANG BUKIT TUMBOH,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG SEBERANG TUAN CHIK HAJI,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG SEKATI,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG SERDANG BARU,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG TANAH LOT (BATU 8),KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG TANJONG BUNUT,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG TANJONG SABTU,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG TANJUNG SERDANG,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG TEBAUK,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG TELARI,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG TELOK MENARA,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG TELOK PASU,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG TENGAH,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG TETAMBAH,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG TOK HARUN,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG TUALANG,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG WAKAF TEMBESU,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,MANIR,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,"BEG BERKUNCI, MANIR",KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BUKIT AMAN,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BUKIT LAWAN,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BUKIT TADOK,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG CHEPOH,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG GETANG,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG KUBANG PALAS,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG LUBOK BATU (KUALA TELEMONG),KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG NAGA MENGULOR,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PULAU MANIS (KUALA TELEMONG),KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG TANJONG MESAH,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG TOK IMAN LAPAR,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KUALA TELEMONG,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,BATALION 104 INFANTERI,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,BATALION 18 RAMD,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,BATU 12 (JALAN GONG BADAK),KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,IBN PGA 9 KUBANG BADAK,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,JALAN MASKAYU @ JALAN TOK JEMBAL,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,JALAN PAK YUSOF,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,JALAN TANAH LOT WAKAF TEMBUSU,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG ALOR KUDA BUKIT TOK BENG,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BANGGOL BULOH,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BANGGOL PAUH,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BANGGOL PUTAT,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BARU PUSU TIGA,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BARU SEBERANG TAKIR,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BARU TOK MER,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BATU 13 (JALAN LAPANGAN TERBANG),KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BUKIT TOK BENG,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG DUYONG HAJI MUDA,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG DUYONG KECIL,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG DUYONG,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG DUYUN HAJI UMAR,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG DUYUNG BESAR,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG GONG BADAK,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG GONG KATUT,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG GONG KUIN,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG GUCHIL,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG HUJUNG TANJUNG LUANG,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG HULUR TAKUR,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG KAYU KELAT,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG KEBUN MELAKA,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG KELANTAN,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG KUBANG BADAK,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PADANG ULU TAKIR,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PAK TIJAH,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PAYA PUTAT,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PENGKALAN BELAT,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PENGKALAN TITIAN,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PULAU DUYUNG @ KAMPUNG PULAU KETAM,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG SEBERANG TOK ABU,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG SEPETIR,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG TANAH LOT TELOK KETAPANG,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG TANJONG JAAFAR,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG TELAGA BATIN,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG TELAGA DAING,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG TELOK KETAPANG,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG TOK JEMBAL,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG TOK MER,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KAMPUNG UJUNG PASIR PUTEH,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,KUBANG BADAK,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,LAPANGAN TERBANG SULTAN MAHMUD,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,PERCETAKAN YAYASAN ISLAM,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,RUMAH MURAH 100,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,RUMAH MURAH 62,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,RUMAH MURAH GONG BADAK,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,RUMAH MURAH TELAGA DAING,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,SEBERANG TAKIR,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,TAMAN DESA PERMAI,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,TAMAN GONG BADAK,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,TAMAN JAYA (SEBERANG TAKIR),KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,TAMAN SALWA,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,TAMAN SETIA DAMAI,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,TANAH LOT BATU 10,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,ZON PERINDUSTRIAN GONG BADAK,KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,"BEG BERKUNCI, SEBERANG TAKIR",KUALA TERENGGANU,TERENGGANU,,nan,nan,nan
nan,BUKIT PAYONG,BUKIT PAYONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG ALOR LIMBAT,BUKIT PAYONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BANGGOL KAPAS,BUKIT PAYONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BANGGOL TASEK,BUKIT PAYONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BINJAI BONGKOK,BUKIT PAYONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG KUBANG BELUKAR,BUKIT PAYONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG KUBANG PANJANG,BUKIT PAYONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG MAK KEMAS,BUKIT PAYONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG NYUT-NYUT,BUKIT PAYONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PADANG AYER DERAS,BUKIT PAYONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PADANG KABAR,BUKIT PAYONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PADANG MENGKUANG,BUKIT PAYONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PADANG MIDIN,BUKIT PAYONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PAK MADAH,BUKIT PAYONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PANTAI ALI,BUKIT PAYONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PASIR TINGGI,BUKIT PAYONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG RAWAI,BUKIT PAYONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG TASEK,BUKIT PAYONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG TEBAKANG,BUKIT PAYONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG TELAGA MENGKUDU,BUKIT PAYONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG UNDANG,BUKIT PAYONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG WAKAF DUA,BUKIT PAYONG,TERENGGANU,,nan,nan,nan
nan,REJIMEN 512 - ASKAR WATANIAH,BUKIT PAYONG,TERENGGANU,,nan,nan,nan
nan,TAMAN KOPERASI,BUKIT PAYONG,TERENGGANU,,nan,nan,nan
nan,TAMAN MEWAH,BUKIT PAYONG,TERENGGANU,,nan,nan,nan
nan,TAMAN PADANG MIDIN,BUKIT PAYONG,TERENGGANU,,nan,nan,nan
nan,CHALOK,CHALOK,TERENGGANU,,nan,nan,nan
nan,FELDA CHALOK BARAT,CHALOK,TERENGGANU,,nan,nan,nan
nan,FELDA CHALOK,CHALOK,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BATU HAMPAR (CHALOK),CHALOK,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BUKIT KECIL,CHALOK,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BUKIT LAYAK,CHALOK,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BUKIT MAK JINTAN,CHALOK,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BUKIT MERAH,CHALOK,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BUKIT MOK SOM,CHALOK,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BUKIT PINANG,CHALOK,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BUKIT PUTERA,CHALOK,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BUKIT TOK HAT,CHALOK,TERENGGANU,,nan,nan,nan
nan,KAMPUNG CHABANG BARI,CHALOK,TERENGGANU,,nan,nan,nan
nan,KAMPUNG CHALOK BARAT,CHALOK,TERENGGANU,,nan,nan,nan
nan,KAMPUNG GONG TERAP CHALOK,CHALOK,TERENGGANU,,nan,nan,nan
nan,KAMPUNG JELAPANG,CHALOK,TERENGGANU,,nan,nan,nan
nan,KAMPUNG KUBANG PUYU,CHALOK,TERENGGANU,,nan,nan,nan
nan,KAMPUNG LUBUK PANJANG,CHALOK,TERENGGANU,,nan,nan,nan
nan,KAMPUNG RAHMAT,CHALOK,TERENGGANU,,nan,nan,nan
nan,KAMPUNG SUNGAI LEREK,CHALOK,TERENGGANU,,nan,nan,nan
nan,KAMPUNG SUNGAI PINANG,CHALOK,TERENGGANU,,nan,nan,nan
nan,KAMPUNG SUNGAI RAKIT,CHALOK,TERENGGANU,,nan,nan,nan
nan,KAMPUNG TAPAH,CHALOK,TERENGGANU,,nan,nan,nan
nan,KAMPUNG ULU CHALOK,CHALOK,TERENGGANU,,nan,nan,nan
nan,KUBANG PUYU,CHALOK,TERENGGANU,,nan,nan,nan
nan,TAMAN TASEK,CHALOK,TERENGGANU,,nan,nan,nan
nan,ALOR LIK,SUNGAI TONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BANGGOL SETOR,SUNGAI TONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BATU 28,SUNGAI TONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BATU 30,SUNGAI TONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BUKIT MUNDOK,SUNGAI TONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BUKIT NENAS,SUNGAI TONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG BUKIT SUNGAI TONG,SUNGAI TONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG JAYA SUNGAI TONG,SUNGAI TONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG JELAPANG,SUNGAI TONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG KUALA TAYOR,SUNGAI TONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG LANGKAP,SUNGAI TONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG NIBONG SUNGAI TONG,SUNGAI TONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG NIBONG,SUNGAI TONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PAK BA,SUNGAI TONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PAYONG,SUNGAI TONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PELONG,SUNGAI TONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG PENGKALAN MERBAU,SUNGAI TONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG SIMPANG LANGKAP,SUNGAI TONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG SUNGAI BARI,SUNGAI TONG,TERENGGANU,,nan,nan,nan
nan,KAMPUNG TAYOR TENGAH,SUNGAI TONG,TERENGGANU,,nan,nan,nan
nan,LADANG BARI,SUNGAI TONG,TERENGGANU,,nan,nan,nan
nan,LKTP BELARA,SUNGAI TONG,TERENGGANU,,nan,nan,nan
