postcode,location,district,state,mukim,postcode1,postcode2,postcode3
nan,KAMPUNG DAGANG,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG DASRI,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG DATUK,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG GUAR SYED ALWI,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG GUAR UJUNG BATU,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG GUNONG,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG GURU,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG HAJI DAUD,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG HUTAN BULUH,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG HUTAN MELINTANG,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG JARAK,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG JEJAWI DALAM,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG JEJAWI SEMATANG,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG KECHOR,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG KERANJI,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG KOTA KERAN,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG KOTA ULU,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG KOTA,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG KUBANG ARANG,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG KUBANG BADAK,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG KUBANG CEKUANG,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG KUBANG GAJAH,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG KURUNG BATANG,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG LIN,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG MASJID (KANGAR),KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG MENGKUANG LAYAR,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG NISSAM,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG NYAK ADAM,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG PADANG BEHOR,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG PADANG JAWA SERIAB,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG PADANG KATONG,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG PADANG KEDEPIANG,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG PADANG MACHANG,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG PADANG NYARING,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG PADANG PAUH,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG PADANG PETANI,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG PADANG SEBERANG,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG PANGGAU,KANGAR,PERLIS,,nan,nan,nan
